Complaint Number,Status,Date Entered,House Number,ZIP Code,House Street,BIN,Community Board,Special District,Complaint Category,Unit,Disposition Date,Disposition Code,Inspection Date,DOBRunDate
1412903,CLOSED,12/24/2015,364         ,10009    ,EAST 8 STREET                   ,1802000,103,   ,4C,EXCAV,12/24/2015,Y1,12/24/2015,11/07/2018 12:00:00 AM
2233811,CLOSED,10/07/2016,1340 GARAGE ,10472    ,ST LAWRENCE AVENUE              ,2119244,209,   ,30,ERT  ,10/08/2016,Y1,10/07/2016,11/07/2018 12:00:00 AM
4596622,CLOSED,08/12/2014,25-88       ,11103    ,41 STREET                       ,4011424,401,   ,30,ERT  ,08/12/2014,Y1,08/12/2014,11/07/2018 12:00:00 AM
3553661,CLOSED,04/06/2016,75          ,11205    ,WALWORTH STREET                 ,3048481,303,   ,5A,BKLYN,04/14/2016,Y1,04/13/2016,11/07/2018 12:00:00 AM
3558194,CLOSED,05/13/2016,217         ,11208    ,CRYSTAL STREET                  ,3095364,305,   ,37,ERT  ,05/13/2016,Y1,05/13/2016,11/07/2018 12:00:00 AM
3512611,CLOSED,04/24/2015,1156        ,11216    ,FULTON STREET                   ,3057753,303,   ,30,ERT  ,04/27/2015,Y1,04/24/2015,11/07/2018 12:00:00 AM
3619950,CLOSED,09/19/2017,874         ,11213    ,EASTERN PARKWAY                 ,3037451,309,   ,4A,SPOPS,10/05/2017,Y1,10/05/2017,11/07/2018 12:00:00 AM
3519613,CLOSED,06/21/2015,1184        ,11221    ,JEFFERSON AVENUE                ,3077888,304,   ,4A,SPOPS,07/17/2015,Y1,07/16/2015,11/07/2018 12:00:00 AM
3530537,CLOSED,09/17/2015,91          ,11212    ,DUMONT AVENUE                   ,3081605,316,   ,30,ERT  ,09/18/2015,Y1,09/17/2015,11/07/2018 12:00:00 AM
1474995,CLOSED,03/23/2018,773         ,10031    ,ST NICHOLAS AVENUE              ,1813994,109,   ,30,ERT  ,03/23/2018,Y1,03/23/2018,11/07/2018 12:00:00 AM
4725946,CLOSED,03/16/2018,107-10      ,11435    ,142 STREET                      ,4215138,412,   ,30,ERT  ,03/16/2018,Y1,03/16/2018,11/07/2018 12:00:00 AM
4549331,CLOSED,05/22/2013,63-24       ,11362    ,254 STREET                      ,4173137,411,   ,30,ERT  ,08/25/2016,Y1,08/22/2016,11/07/2018 12:00:00 AM
